MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41,6.984126984126984,1.0238095238095237,322,2.5555555555555554,37.88,-122.23,4.526
8.3014,21,6.238137082601054,0.9718804920913884,2401,2.109841827768014,37.86,-122.22,3.585
7.2574,52,8.288135593220339,1.073446327683616,496,2.8022598870056497,37.85,-122.24,3.521
5.6431,52,5.8173515981735155,1.0730593607305936,558,2.547945205479452,37.85,-122.25,3.413
3.8462,52,6.281853281853282,1.0810810810810811,565,2.1814671814671813,37.85,-122.25,3.422
4.0368,52,4.761658031088083,1.1036269430051813,413,2.139896373056995,37.85,-122.25,2.697
3.6591,52,4.9319066147859925,0.9513618677042801,1094,2.1284046692607004,37.84,-122.25,2.992
3.12,52,4.797527047913447,1.061823802163833,1157,1.7882534775888717,37.84,-122.25,2.414
2.0804,42,4.294117647058823,1.1176470588235294,1206,2.026890756302521,37.84,-122.26,2.267
3.6912,52,4.970588235294118,0.9901960784313726,1551,2.172268907563025,37.84,-122.25,2.611
3.2031,52,5.477611940298507,1.0796019900497513,910,2.263681592039801,37.85,-122.26,2.815
3.2705,52,4.772479564032698,1.0245231607629428,1504,2.0490463215258856,37.85,-122.26,2.418
3.075,52,5.322649572649572,1.0128205128205128,1098,2.3461538461538463,37.85,-122.26,2.135
2.6736,52,4,1.0977011494252873,345,1.9827586206896552,37.84,-122.26,1.913
1.9167,52,4.262903225806451,1.0096774193548388,1212,1.9548387096774194,37.85,-122.26,1.592
2.125,50,4.242424242424242,1.071969696969697,697,2.640151515151515,37.85,-122.26,1.4
2.775,52,5.9395770392749245,1.0483383685800605,793,2.395770392749245,37.85,-122.27,1.525
2.1202,52,4.052805280528053,0.966996699669967,648,2.1386138613861387,37.85,-122.27,1.555
1.9911,50,5.343675417661098,1.0859188544152745,990,2.3627684964200477,37.84,-122.26,1.587
2.6033,52,5.465454545454546,1.0836363636363637,690,2.5090909090909093,37.84,-122.27,1.629
1.3578,40,4.524096385542169,1.108433734939759,409,2.463855421686747,37.85,-122.27,1.475
1.7135,42,4.478142076502732,1.0027322404371584,929,2.5382513661202184,37.85,-122.27,1.598
1.725,52,5.096234309623431,1.1317991631799162,1015,2.1234309623430963,37.84,-122.27,1.139
2.1806,52,5.193846153846154,1.0369230769230768,853,2.624615384615385,37.84,-122.27,0.997
2.6,52,5.270142180094787,1.0355450236966826,1006,2.3838862559241707,37.84,-122.27,1.326
2.4038,41,4.495798319327731,1.0336134453781514,317,2.6638655462184873,37.85,-122.28,1.075
2.4597,49,4.7280334728033475,1.0209205020920502,607,2.5397489539748954,37.85,-122.28,0.938
1.808,52,4.7808564231738035,1.0604534005037782,1102,2.7758186397984885,37.85,-122.28,1.055
1.6424,50,4.40169133192389,1.040169133192389,1131,2.3911205073995774,37.84,-122.28,1.089
1.6875,52,4.703225806451613,1.032258064516129,395,2.5483870967741935,37.84,-122.28,1.32
1.9274,49,5.068783068783069,1.1825396825396826,863,2.2830687830687832,37.84,-122.28,1.223
1.9615,52,4.882086167800454,1.090702947845805,1168,2.6485260770975056,37.84,-122.28,1.152
1.7969,48,5.737313432835821,1.2208955223880598,1026,3.062686567164179,37.84,-122.27,1.104
1.375,49,5.0303951367781155,1.1124620060790273,754,2.291793313069909,37.83,-122.27,1.049
2.7303,51,4.972014925373134,1.0708955223880596,1258,2.3470149253731343,37.83,-122.27,1.097
1.4861,49,4.6022727272727275,1.0681818181818181,570,2.159090909090909,37.83,-122.27,0.972
1.0972,48,4.807486631016043,1.1550802139037433,987,2.6390374331550803,37.83,-122.27,1.045
1.4103,52,3.7493796526054592,0.967741935483871,901,2.235732009925558,37.83,-122.28,1.039
3.48,52,4.757281553398058,1.0679611650485437,689,2.2297734627831716,37.83,-122.26,1.914
2.5898,52,3.4942528735632186,1.0272988505747127,1377,1.978448275862069,37.83,-122.26,1.76
2.0978,52,4.215189873417722,1.0607594936708862,946,2.3949367088607594,37.83,-122.26,1.554
1.2852,51,3.7590361445783134,1.248995983935743,517,2.076305220883534,37.83,-122.26,1.5
1.025,49,3.7724867724867726,1.0687830687830688,462,2.4444444444444446,37.84,-122.26,1.188
3.9643,52,4.797979797979798,1.02020202020202,467,2.3585858585858586,37.84,-122.26,1.888
3.0125,52,4.941780821917808,1.0650684931506849,660,2.26027397260274,37.83,-122.26,1.844
2.6768,52,4.335078534031414,1.0994764397905759,718,1.8795811518324608,37.83,-122.26,1.823
2.026,50,3.700657894736842,1.0592105263157894,616,2.026315789473684,37.83,-122.26,1.425
1.7348,43,3.9802371541501977,1.233201581027668,558,2.205533596837945,37.82,-122.27,1.375
0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26,1.875
1.775,40,2.6875,1.0653409090909092,700,1.9886363636363635,37.82,-122.27,1.125
0.9218,21,2.045662100456621,1.0342465753424657,735,1.678082191780822,37.82,-122.27,1.719
1.5045,43,4.58968058968059,1.1203931203931203,1061,2.6068796068796067,37.82,-122.27,0.938
1.1108,41,4.473611111111111,1.1847222222222222,1959,2.720833333333333,37.82,-122.27,0.975
1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27,1.042
1.6098,52,5.021459227467811,1.0085836909871244,701,3.0085836909871246,37.82,-122.28,0.875
1.4113,52,4.295454545454546,1.1045454545454545,576,2.618181818181818,37.82,-122.28,0.831
1.5057,52,4.77992277992278,1.111969111969112,622,2.4015444015444016,37.82,-122.28,0.875
0.8172,52,6.102459016393443,1.3729508196721312,728,2.9836065573770494,37.82,-122.28,0.853
1.2171,52,4.5625,1.1217105263157894,1074,3.5328947368421053,37.82,-122.28,0.803
2.5625,2,2.7719298245614037,0.7543859649122807,94,1.6491228070175439,37.82,-122.29,0.6
3.3929,52,5.994652406417113,1.1283422459893049,554,2.962566844919786,37.83,-122.29,0.757
6.1183,49,5.869565217391305,1.2608695652173914,86,3.739130434782609,37.82,-122.29,0.75
0.9011,50,6.229508196721311,1.5573770491803278,377,3.0901639344262297,37.81,-122.29,0.861
1.191,52,7.69811320754717,1.490566037735849,521,3.2767295597484276,37.81,-122.3,0.761
2.5938,48,6.225563909774436,1.368421052631579,392,2.9473684210526314,37.81,-122.3,0.735
1.1667,52,5.401069518716578,1.1176470588235294,604,3.229946524064171,37.81,-122.3,0.784
0.8056,48,4.382530120481928,1.0662650602409638,788,2.3734939759036147,37.81,-122.3,0.844
2.6094,52,6.98639455782313,1.6598639455782314,492,3.3469387755102042,37.8,-122.29,0.813
1.8516,52,6.975609756097561,1.329268292682927,274,3.341463414634146,37.81,-122.3,0.85
0.9802,46,4.584288052373159,1.0540098199672667,1823,2.983633387888707,37.81,-122.29,1.292
1.7719,26,6.047244094488189,1.1968503937007875,392,3.0866141732283463,37.81,-122.29,0.825
0.7286,46,3.375451263537906,1.0722021660649819,582,2.101083032490975,37.81,-122.29,0.952
1.75,49,5.552631578947368,1.3421052631578947,560,3.6842105263157894,37.81,-122.29,0.75
0.4999,46,1.7142857142857142,0.5714285714285714,18,2.5714285714285716,37.81,-122.29,0.675
2.483,20,6.2781954887218046,1.2105263157894737,290,2.180451127819549,37.81,-122.29,1.375
0.9241,17,2.8177676537585423,1.0523917995444192,762,1.7357630979498861,37.81,-122.28,1.775
2.4464,36,5.724950884086444,1.1041257367387034,1236,2.4282907662082516,37.81,-122.28,1.021
1.1111,19,5.830917874396135,1.173913043478261,721,3.4830917874396135,37.81,-122.28,1.083
0.8026,23,5.369230769230769,1.1507692307692308,1054,3.243076923076923,37.81,-122.29,1.125
2.0114,38,4.412903225806452,1.135483870967742,344,2.2193548387096773,37.8,-122.28,1.313
1.5,17,3.1972318339100347,1,609,2.1072664359861593,37.81,-122.28,1.625
1.1667,52,3.75,1,183,3.267857142857143,37.81,-122.27,1.125
1.5208,52,3.9080459770114944,1.1149425287356323,200,2.2988505747126435,37.81,-122.28,1.125
0.8075,52,2.490322580645161,1.0580645161290323,346,2.232258064516129,37.81,-122.28,1.375
1.8088,35,5.609467455621302,1.0887573964497042,467,2.7633136094674557,37.81,-122.28,1.188
2.4083,52,6.721739130434782,1.2434782608695651,377,3.2782608695652176,37.81,-122.28,0.982
0.977,40,2.3157894736842106,1.186842105263158,582,1.5315789473684212,37.81,-122.27,1.188
0.76,10,2.6515151515151514,1.0545454545454545,546,1.6545454545454545,37.81,-122.27,1.625
0.9722,10,2.6923076923076925,1.0769230769230769,125,3.2051282051282053,37.8,-122.27,1.375
1.2434,52,2.929411764705882,0.9176470588235294,396,4.658823529411765,37.8,-122.27,5.00001
2.0938,16,2.74585635359116,1.0828729281767955,800,2.2099447513812156,37.8,-122.27,1.625
0.8668,52,2.4431818181818183,0.9886363636363636,904,10.272727272727273,37.8,-122.28,1.375
0.75,52,2.823529411764706,0.9117647058823529,191,5.617647058823529,37.8,-122.28,1.625
2.6354,27,3.493377483443709,1.1490066225165563,718,2.377483443708609,37.79,-122.27,1.875
1.8477,39,3.6723768736616704,1.3340471092077089,1327,2.841541755888651,37.8,-122.27,1.792
2.0096,36,2.294016358157555,1.066293585880327,3469,1.493327593628928,37.8,-122.26,1.3
2.8345,31,3.8949152542372882,1.1279661016949152,2048,1.735593220338983,37.82,-122.26,1.838
2.0062,29,3.681318681318681,1.1758241758241759,202,2.21978021978022,37.81,-122.26,1.25
1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26,1.7
2.6104,37,3.7071428571428573,1.1071428571428572,1838,1.8755102040816327,37.82,-122.26,1.931
2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25,2.578
3.2177,28,3.8784235136940546,1.070808283233133,2563,1.7120908483633934,37.81,-122.25,2.734
3.125,39,3.745614035087719,1.0614035087719298,389,1.706140350877193,37.81,-122.25,2.375
2.5795,52,3.5154975530179446,1.1435562805872757,895,1.4600326264274062,37.81,-122.25,3.5
2.8406,34,3.281721632196758,1.0698714365567357,2689,1.5030743432084963,37.81,-122.26,3.357
4.9306,52,6.184426229508197,0.9221311475409836,674,2.762295081967213,37.82,-122.24,3.134
3.2727,52,4.442982456140351,1.0570175438596492,709,1.5548245614035088,37.81,-122.24,2.685
3.1691,52,4.165876777251185,1.0900473933649288,686,1.6255924170616114,37.81,-122.25,2.594
3.9,52,4.848189415041783,1.0459610027855153,1444,2.011142061281337,37.82,-122.24,2.757
3.9063,28,4.160847880299252,1.0660847880299251,1520,1.8952618453865338,37.82,-122.25,2.25
5.0917,52,5.628458498023716,1.1422924901185771,550,2.1739130434782608,37.82,-122.25,2.625
2.6429,32,3.7270058708414875,1.0743639921722115,1806,1.7671232876712328,37.82,-122.25,2.185
3.0233,26,3.2530813475760065,0.9827444535743632,1749,1.4371405094494658,37.82,-122.25,2.55
3.1484,52,4.578034682080925,1.0770712909441233,939,1.8092485549132948,37.83,-122.25,2.241
3.4722,35,3.822274881516588,1.014218009478673,675,1.599526066350711,37.83,-122.25,2.431
3.1429,52,4.3951890034364265,0.9862542955326461,534,1.8350515463917525,37.83,-122.25,2.316
2.4234,28,3.0234798314268514,1.053582179409994,2558,1.5400361228175798,37.83,-122.25,2.185
3.0897,52,4.040501446480231,1.0655737704918034,1786,1.7222757955641272,37.83,-122.25,2.341
5.8596,50,6.742627345844504,1.0697050938337802,970,2.6005361930294906,37.84,-122.23,3.276
5.2868,47,6.546391752577319,0.9360824742268041,1098,2.263917525773196,37.84,-122.23,3.476
5.956,41,6.851063829787234,1.0797872340425532,794,2.1117021276595747,37.83,-122.24,3.661
4.9643,37,7.1063829787234045,1.148936170212766,98,2.0851063829787235,37.85,-122.24,3.35
6.3434,52,6.947890818858561,1.0198511166253101,1061,2.632754342431762,37.85,-122.23,3.736
5.1773,52,6.358558558558559,1.0342342342342343,1177,2.120720720720721,37.84,-122.24,3.895
7.2354,52,7.11716621253406,0.9945504087193461,901,2.455040871934605,37.85,-122.24,3.911
5.457,28,5.5303347280334725,1.096234309623431,2031,2.1244769874476988,37.85,-122.22,3.373
7.5,50,6.127348643006263,0.9874739039665971,1031,2.152400835073069,37.84,-122.22,2.952
6.0194,44,5.735343383584589,1,1358,2.274706867671692,37.84,-122.21,2.923
7.5544,40,7.631498470948012,1.0305810397553516,1616,2.470948012232416,37.83,-122.21,4.115
6.0666,30,6.446064139941691,1.0087463556851313,844,2.4606413994169096,37.84,-122.2,3.115
7.0548,34,6.125,0.9879032258064516,1140,2.2983870967741935,37.84,-122.21,3.259
11.6017,18,8.335051546391753,1.0824742268041236,533,2.747422680412371,37.84,-122.19,3.926
7.4882,35,6.467268623024831,1.0383747178329572,1072,2.419864559819413,37.84,-122.2,3.193
